pk,QualityCode,DatetimeAEST,SiteID,Unit,Value,Varcode,VariableName,LastObservedTimeAEST,DataType,Owner
141.00|20190101000000|410790,1,01/01/2019 12:00:00 AM,410790,Megalitres/Day,0.4659999907,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS/EPSDD
141.00|20190101000000|410779,1,01/01/2019 12:00:00 AM,410779,Megalitres/Day,1.8830000162,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS/EPSDD
141.00|20190101000000|410776,1,01/01/2019 12:00:00 AM,410776,Megalitres/Day,3.3239998817,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,DEAD
141.00|20190101000000|410775,1,01/01/2019 12:00:00 AM,410775,Megalitres/Day,1.8480000496,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410772,2,01/01/2019 12:00:00 AM,410772,Megalitres/Day,0.1800000072,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410770,1,01/01/2019 12:00:00 AM,410770,Megalitres/Day,10.4969997406,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410761,1,01/01/2019 12:00:00 AM,410761,Megalitres/Day,109.6409988403,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410756,1,01/01/2019 12:00:00 AM,410756,Megalitres/Day,3.7679998875,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410753,1,01/01/2019 12:00:00 AM,410753,Megalitres/Day,0.2109999955,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410751,1,01/01/2019 12:00:00 AM,410751,Megalitres/Day,0.1439999938,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410750,2,01/01/2019 12:00:00 AM,410750,Megalitres/Day,0.3000000119,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410746,1,01/01/2019 12:00:00 AM,410746,Megalitres/Day,0.0689999983,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410745,1,01/01/2019 12:00:00 AM,410745,Megalitres/Day,2.4200000763,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410729,1,01/01/2019 12:00:00 AM,410729,Megalitres/Day,14.9849996567,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410711,1,01/01/2019 12:00:00 AM,410711,Megalitres/Day,4.2449998856,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,DEAD
141.00|20190101000000|410705,1,01/01/2019 12:00:00 AM,410705,Megalitres/Day,2.1340000629,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
10.00|20181231090000|ES1801,1,01/01/2019 09:00:00 AM,ES1801,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|ER0302,1,01/01/2019 09:00:00 AM,ER0302,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570996,1,01/01/2019 09:00:00 AM,570996,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570993,1,01/01/2019 09:00:00 AM,570993,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570992,1,01/01/2019 09:00:00 AM,570992,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570991,1,01/01/2019 09:00:00 AM,570991,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570987,2,01/01/2019 09:00:00 AM,570987,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570985,1,01/01/2019 09:00:00 AM,570985,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570981,1,01/01/2019 09:00:00 AM,570981,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570978,1,01/01/2019 09:00:00 AM,570978,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570977,1,01/01/2019 09:00:00 AM,570977,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570967,1,01/01/2019 09:00:00 AM,570967,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD?
10.00|20181231090000|570944,1,01/01/2019 09:00:00 AM,570944,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570943,1,01/01/2019 09:00:00 AM,570943,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570942,1,01/01/2019 09:00:00 AM,570942,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570941,1,01/01/2019 09:00:00 AM,570941,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570928,1,01/01/2019 09:00:00 AM,570928,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570925,1,01/01/2019 09:00:00 AM,570925,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570922,255,01/01/2019 09:00:00 AM,570922,Millimetres,0,10.0,Rainfall,10/10/2019 02:01:13 AM,total,DEAD?
10.00|20181231090000|570915,1,01/01/2019 09:00:00 AM,570915,Millimetres,0.400000006,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570909,1,01/01/2019 09:00:00 AM,570909,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570908,1,01/01/2019 09:00:00 AM,570908,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570904,1,01/01/2019 09:00:00 AM,570904,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570902,1,01/01/2019 09:00:00 AM,570902,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570824,1,01/01/2019 09:00:00 AM,570824,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570822,1,01/01/2019 09:00:00 AM,570822,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570821,1,01/01/2019 09:00:00 AM,570821,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570817,1,01/01/2019 09:00:00 AM,570817,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570813,1,01/01/2019 09:00:00 AM,570813,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570807,1,01/01/2019 09:00:00 AM,570807,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570806,1,01/01/2019 09:00:00 AM,570806,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570805,1,01/01/2019 09:00:00 AM,570805,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD?
10.00|20181231090000|570803,1,01/01/2019 09:00:00 AM,570803,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570802,1,01/01/2019 09:00:00 AM,570802,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570801,1,01/01/2019 09:00:00 AM,570801,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
141.00|20190102000000|410790,1,01/02/2019 12:00:00 AM,410790,Megalitres/Day,0.4160000086,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS/EPSDD
141.00|20190102000000|410779,1,01/02/2019 12:00:00 AM,410779,Megalitres/Day,1.6900000572,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS/EPSDD
141.00|20190102000000|410776,1,01/02/2019 12:00:00 AM,410776,Megalitres/Day,2.9100000858,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,DEAD
141.00|20190102000000|410775,1,01/02/2019 12:00:00 AM,410775,Megalitres/Day,1.9240000248,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410772,2,01/02/2019 12:00:00 AM,410772,Megalitres/Day,0.398999989,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410770,1,01/02/2019 12:00:00 AM,410770,Megalitres/Day,9.8879995346,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,EPSDD
141.00|20190102000000|410761,1,01/02/2019 12:00:00 AM,410761,Megalitres/Day,95.3550033569,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,EPSDD
141.00|20190102000000|410756,1,01/02/2019 12:00:00 AM,410756,Megalitres/Day,3.5179998875,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,EPSDD
141.00|20190102000000|410753,1,01/02/2019 12:00:00 AM,410753,Megalitres/Day,0.2060000002,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410751,1,01/02/2019 12:00:00 AM,410751,Megalitres/Day,0.8769999743,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410750,2,01/02/2019 12:00:00 AM,410750,Megalitres/Day,0.2430000007,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410746,1,01/02/2019 12:00:00 AM,410746,Megalitres/Day,0.063000001,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410745,1,01/02/2019 12:00:00 AM,410745,Megalitres/Day,2.3589999676,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,TCCS
141.00|20190102000000|410729,1,01/02/2019 12:00:00 AM,410729,Megalitres/Day,13.357000351,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,EPSDD
141.00|20190102000000|410711,1,01/02/2019 12:00:00 AM,410711,Megalitres/Day,3.9030001163,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,DEAD
141.00|20190102000000|410705,1,01/02/2019 12:00:00 AM,410705,Megalitres/Day,1.7910000086,141.0,Stream Discharge Ml/Day,12/27/2019 02:03:11 AM,mean,EPSDD
10.00|20190101090000|ES1801,1,01/02/2019 09:00:00 AM,ES1801,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|ER0302,1,01/02/2019 09:00:00 AM,ER0302,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,DEAD
10.00|20190101090000|570996,1,01/02/2019 09:00:00 AM,570996,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570993,1,01/02/2019 09:00:00 AM,570993,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570992,1,01/02/2019 09:00:00 AM,570992,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570991,1,01/02/2019 09:00:00 AM,570991,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570987,2,01/02/2019 09:00:00 AM,570987,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570985,1,01/02/2019 09:00:00 AM,570985,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570981,1,01/02/2019 09:00:00 AM,570981,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570978,1,01/02/2019 09:00:00 AM,570978,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570977,1,01/02/2019 09:00:00 AM,570977,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570967,1,01/02/2019 09:00:00 AM,570967,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,DEAD?
10.00|20190101090000|570944,1,01/02/2019 09:00:00 AM,570944,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570943,1,01/02/2019 09:00:00 AM,570943,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570942,1,01/02/2019 09:00:00 AM,570942,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570941,1,01/02/2019 09:00:00 AM,570941,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570928,1,01/02/2019 09:00:00 AM,570928,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,DEAD
10.00|20190101090000|570925,1,01/02/2019 09:00:00 AM,570925,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570922,255,01/02/2019 09:00:00 AM,570922,Millimetres,0,10.0,Rainfall,10/10/2019 02:01:13 AM,total,DEAD?
10.00|20190101090000|570915,1,01/02/2019 09:00:00 AM,570915,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,DEAD
10.00|20190101090000|570909,1,01/02/2019 09:00:00 AM,570909,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570908,1,01/02/2019 09:00:00 AM,570908,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570904,1,01/02/2019 09:00:00 AM,570904,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570902,1,01/02/2019 09:00:00 AM,570902,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570824,1,01/02/2019 09:00:00 AM,570824,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570822,1,01/02/2019 09:00:00 AM,570822,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570821,1,01/02/2019 09:00:00 AM,570821,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570817,1,01/02/2019 09:00:00 AM,570817,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570813,1,01/02/2019 09:00:00 AM,570813,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570807,1,01/02/2019 09:00:00 AM,570807,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570806,1,01/02/2019 09:00:00 AM,570806,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570805,1,01/02/2019 09:00:00 AM,570805,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,DEAD?
10.00|20190101090000|570803,1,01/02/2019 09:00:00 AM,570803,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570802,1,01/02/2019 09:00:00 AM,570802,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
10.00|20190101090000|570801,1,01/02/2019 09:00:00 AM,570801,Millimetres,0,10.0,Rainfall,12/27/2019 02:01:01 AM,total,TCCS
141.00|20190103000000|410790,1,01/03/2019 12:00:00 AM,410790,Megalitres/Day,0.3889999986,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS/EPSDD
141.00|20190103000000|410779,1,01/03/2019 12:00:00 AM,410779,Megalitres/Day,1.3789999485,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS/EPSDD
141.00|20190103000000|410776,1,01/03/2019 12:00:00 AM,410776,Megalitres/Day,2.6930000782,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,DEAD
141.00|20190103000000|410775,1,01/03/2019 12:00:00 AM,410775,Megalitres/Day,2.3619999886,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410772,2,01/03/2019 12:00:00 AM,410772,Megalitres/Day,0.3700000048,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410770,1,01/03/2019 12:00:00 AM,410770,Megalitres/Day,9.595000267,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,EPSDD
141.00|20190103000000|410761,1,01/03/2019 12:00:00 AM,410761,Megalitres/Day,76.483001709,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,EPSDD
141.00|20190103000000|410756,1,01/03/2019 12:00:00 AM,410756,Megalitres/Day,3.0699999332,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,EPSDD
141.00|20190103000000|410753,1,01/03/2019 12:00:00 AM,410753,Megalitres/Day,0.1879999936,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410751,1,01/03/2019 12:00:00 AM,410751,Megalitres/Day,0.3639999926,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410750,2,01/03/2019 12:00:00 AM,410750,Megalitres/Day,0.1550000012,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410746,1,01/03/2019 12:00:00 AM,410746,Megalitres/Day,0.0549999997,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410745,1,01/03/2019 12:00:00 AM,410745,Megalitres/Day,2.3210000992,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,TCCS
141.00|20190103000000|410729,1,01/03/2019 12:00:00 AM,410729,Megalitres/Day,12.4790000916,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,EPSDD
141.00|20190103000000|410711,1,01/03/2019 12:00:00 AM,410711,Megalitres/Day,3.4790000916,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,DEAD
141.00|20190103000000|410705,1,01/03/2019 12:00:00 AM,410705,Megalitres/Day,1.324000001,141.0,Stream Discharge Ml/Day,12/28/2019 02:03:05 AM,mean,EPSDD
10.00|20190102090000|ES1801,1,01/03/2019 09:00:00 AM,ES1801,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|ER0302,1,01/03/2019 09:00:00 AM,ER0302,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,DEAD
10.00|20190102090000|570996,1,01/03/2019 09:00:00 AM,570996,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570993,1,01/03/2019 09:00:00 AM,570993,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570992,1,01/03/2019 09:00:00 AM,570992,Millimetres,0.400000006,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570991,1,01/03/2019 09:00:00 AM,570991,Millimetres,0.6000000238,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570987,2,01/03/2019 09:00:00 AM,570987,Millimetres,0.6299999952,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570985,1,01/03/2019 09:00:00 AM,570985,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570981,1,01/03/2019 09:00:00 AM,570981,Millimetres,1.2699999809,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570978,1,01/03/2019 09:00:00 AM,570978,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570977,1,01/03/2019 09:00:00 AM,570977,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570967,1,01/03/2019 09:00:00 AM,570967,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,DEAD?
10.00|20190102090000|570944,1,01/03/2019 09:00:00 AM,570944,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570943,1,01/03/2019 09:00:00 AM,570943,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570942,1,01/03/2019 09:00:00 AM,570942,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570941,1,01/03/2019 09:00:00 AM,570941,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570928,1,01/03/2019 09:00:00 AM,570928,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,DEAD
10.00|20190102090000|570925,1,01/03/2019 09:00:00 AM,570925,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570922,255,01/03/2019 09:00:00 AM,570922,Millimetres,0,10.0,Rainfall,10/10/2019 02:01:13 AM,total,DEAD?
10.00|20190102090000|570915,1,01/03/2019 09:00:00 AM,570915,Millimetres,1.7999999523,10.0,Rainfall,12/28/2019 02:00:56 AM,total,DEAD
10.00|20190102090000|570909,1,01/03/2019 09:00:00 AM,570909,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570908,1,01/03/2019 09:00:00 AM,570908,Millimetres,0.200000003,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570904,1,01/03/2019 09:00:00 AM,570904,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570902,1,01/03/2019 09:00:00 AM,570902,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570824,1,01/03/2019 09:00:00 AM,570824,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570822,1,01/03/2019 09:00:00 AM,570822,Millimetres,2,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570821,1,01/03/2019 09:00:00 AM,570821,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570817,1,01/03/2019 09:00:00 AM,570817,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570813,1,01/03/2019 09:00:00 AM,570813,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570807,1,01/03/2019 09:00:00 AM,570807,Millimetres,1,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570806,1,01/03/2019 09:00:00 AM,570806,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570805,1,01/03/2019 09:00:00 AM,570805,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,DEAD?
10.00|20190102090000|570803,1,01/03/2019 09:00:00 AM,570803,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570802,1,01/03/2019 09:00:00 AM,570802,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
10.00|20190102090000|570801,1,01/03/2019 09:00:00 AM,570801,Millimetres,0,10.0,Rainfall,12/28/2019 02:00:56 AM,total,TCCS
141.00|20190104000000|410790,1,01/04/2019 12:00:00 AM,410790,Megalitres/Day,0.3569999933,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS/EPSDD
141.00|20190104000000|410779,1,01/04/2019 12:00:00 AM,410779,Megalitres/Day,1.3289999962,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS/EPSDD
141.00|20190104000000|410776,1,01/04/2019 12:00:00 AM,410776,Megalitres/Day,2.2750000954,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,DEAD
141.00|20190104000000|410775,1,01/04/2019 12:00:00 AM,410775,Megalitres/Day,1.6360000372,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410772,2,01/04/2019 12:00:00 AM,410772,Megalitres/Day,0.2090000063,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410770,1,01/04/2019 12:00:00 AM,410770,Megalitres/Day,9.6490001678,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,EPSDD
141.00|20190104000000|410761,1,01/04/2019 12:00:00 AM,410761,Megalitres/Day,44.2820014954,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,EPSDD
141.00|20190104000000|410756,1,01/04/2019 12:00:00 AM,410756,Megalitres/Day,2.9779999256,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,EPSDD
141.00|20190104000000|410753,1,01/04/2019 12:00:00 AM,410753,Megalitres/Day,0.1850000024,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410751,1,01/04/2019 12:00:00 AM,410751,Megalitres/Day,0.1289999932,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410750,2,01/04/2019 12:00:00 AM,410750,Megalitres/Day,0.1010000035,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410746,1,01/04/2019 12:00:00 AM,410746,Megalitres/Day,0.0489999987,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410745,1,01/04/2019 12:00:00 AM,410745,Megalitres/Day,2.2820000648,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,TCCS
141.00|20190104000000|410729,1,01/04/2019 12:00:00 AM,410729,Megalitres/Day,12.4379997253,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,EPSDD
141.00|20190104000000|410711,1,01/04/2019 12:00:00 AM,410711,Megalitres/Day,2.6960000992,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,DEAD
141.00|20190104000000|410705,1,01/04/2019 12:00:00 AM,410705,Megalitres/Day,0.8130000234,141.0,Stream Discharge Ml/Day,12/29/2019 02:02:58 AM,mean,EPSDD
